family,src,target,w,h,half,slope,t,n,p,sign
成本,16,ガラス・土石製品,3,1,H1,-0.10512,-0.44499,119,0.65633,-1
成本,16,ガラス・土石製品,3,1,H2,-0.01145,-0.07198,119,0.94261,-1
成本,16,ガラス・土石製品,3,3,H1,-0.27614,-0.41416,119,0.67876,-1
成本,16,ガラス・土石製品,3,3,H2,-0.21021,-0.54998,117,0.58234,-1
成本,16,ガラス・土石製品,3,6,H1,-0.36826,-0.38085,119,0.70331,-1
成本,16,ガラス・土石製品,3,6,H2,0.10519,0.2004,114,0.84117,-1
成本,16,ガラス・土石製品,6,1,H1,-0.02233,-0.17203,119,0.86342,-1
成本,16,ガラス・土石製品,6,1,H2,-0.0241,-0.33129,119,0.74043,-1
成本,16,ガラス・土石製品,6,3,H1,-0.06908,-0.19165,119,0.84802,-1
成本,16,ガラス・土石製品,6,3,H2,-0.03285,-0.17869,117,0.85818,-1
成本,16,ガラス・土石製品,6,6,H1,-0.30505,-0.54828,119,0.5835,-1
成本,16,ガラス・土石製品,6,6,H2,0.19288,0.69765,114,0.4854,-1
成本,22,ゴム製品,1,1,H1,-0.29248,-0.20553,119,0.83716,-1
成本,22,ゴム製品,1,1,H2,0.63891,0.80172,119,0.42272,-1
成本,22,ゴム製品,1,3,H1,-1.86885,-0.56185,119,0.57422,-1
成本,22,ゴム製品,1,3,H2,1.31596,0.76028,117,0.44709,-1
成本,22,ゴム製品,1,6,H1,1.44004,0.30967,119,0.75682,-1
成本,22,ゴム製品,1,6,H2,3.31473,1.20869,114,0.22678,-1
成本,22,ゴム製品,3,1,H1,-0.374,-0.6351,119,0.52536,-1
成本,22,ゴム製品,3,1,H2,0.10375,0.36071,119,0.71832,-1
成本,22,ゴム製品,3,3,H1,-0.01423,-0.012,119,0.99042,-1
成本,22,ゴム製品,3,3,H2,0.13145,0.15268,117,0.87865,-1
成本,22,ゴム製品,3,6,H1,1.63411,1.02614,119,0.30482,-1
成本,22,ゴム製品,3,6,H2,1.31508,0.9122,114,0.36166,-1
成本,22,ゴム製品,6,1,H1,0.16326,0.59572,119,0.55136,-1
成本,22,ゴム製品,6,1,H2,0.09983,0.54501,119,0.58575,-1
成本,22,ゴム製品,6,3,H1,0.6316,0.96354,119,0.33528,-1
成本,22,ゴム製品,6,3,H2,0.35874,0.71331,117,0.47565,-1
成本,22,ゴム製品,6,6,H1,1.36432,1.45492,119,0.14569,-1
成本,22,ゴム製品,6,6,H2,1.02723,1.24582,114,0.21283,-1
成本,20,ゴム製品,1,1,H1,1.66792,3.1996,119,0.00138,-1
成本,20,ゴム製品,1,1,H2,0.86766,2.53843,119,0.01114,-1
成本,20,ゴム製品,1,3,H1,2.0301,2.34036,119,0.01927,-1
成本,20,ゴム製品,1,3,H2,1.06113,1.37083,117,0.17043,-1
成本,20,ゴム製品,1,6,H1,2.31823,2.55923,119,0.01049,-1
成本,20,ゴム製品,1,6,H2,0.1438,0.11093,114,0.91167,-1
成本,20,ゴム製品,3,1,H1,0.44233,1.92528,119,0.05419,-1
成本,20,ゴム製品,3,1,H2,0.11347,0.93201,119,0.35133,-1
成本,20,ゴム製品,3,3,H1,0.58084,1.67941,119,0.09307,-1
成本,20,ゴム製品,3,3,H2,0.19545,0.5621,117,0.57405,-1
成本,20,ゴム製品,3,6,H1,0.73596,1.40255,119,0.16075,-1
成本,20,ゴム製品,3,6,H2,0.12527,0.20844,114,0.83489,-1
成本,20,ゴム製品,6,1,H1,0.16307,1.64565,119,0.09984,-1
成本,20,ゴム製品,6,1,H2,0.02899,0.36449,119,0.71549,-1
成本,20,ゴム製品,6,3,H1,0.25847,1.13919,119,0.25462,-1
成本,20,ゴム製品,6,3,H2,0.09839,0.42497,117,0.67086,-1
成本,20,ゴム製品,6,6,H1,0.57474,1.49035,119,0.13613,-1
成本,20,ゴム製品,6,6,H2,0.00845,0.02393,114,0.98091,-1
成本,46,ゴム製品,1,1,H1,0.22371,1.14221,119,0.25337,-1
成本,46,ゴム製品,1,1,H2,0.03266,0.28159,119,0.77826,-1
成本,46,ゴム製品,1,3,H1,0.23896,0.69153,119,0.48923,-1
成本,46,ゴム製品,1,3,H2,-0.12581,-0.50653,117,0.61249,-1
成本,46,ゴム製品,1,6,H1,0.69709,1.83305,119,0.0668,-1
成本,46,ゴム製品,1,6,H2,-0.11813,-0.23459,114,0.81453,-1
成本,46,ゴム製品,3,1,H1,0.06072,0.69841,119,0.48492,-1
成本,46,ゴム製品,3,1,H2,-0.02176,-0.38669,119,0.69899,-1
成本,46,ゴム製品,3,3,H1,0.02681,0.15042,119,0.88043,-1
成本,46,ゴム製品,3,3,H2,-0.11148,-0.72738,117,0.46699,-1
成本,46,ゴム製品,3,6,H1,0.35939,1.4171,119,0.15645,-1
成本,46,ゴム製品,3,6,H2,-0.08838,-0.32587,114,0.74452,-1
成本,46,ゴム製品,6,1,H1,0.0782,1.58372,119,0.11326,-1
成本,46,ゴム製品,6,1,H2,-0.01358,-0.40662,119,0.68428,-1
成本,46,ゴム製品,6,3,H1,0.19311,1.46279,119,0.14352,-1
成本,46,ゴム製品,6,3,H2,-0.04576,-0.47187,117,0.63702,-1
成本,46,ゴム製品,6,6,H1,0.32061,1.23566,119,0.21658,-1
成本,46,ゴム製品,6,6,H2,0.00421,0.0291,114,0.97678,-1
成本,11,サービス業,1,1,H1,-0.10029,-0.20138,119,0.8404,-1
成本,11,サービス業,1,1,H2,-0.15875,-0.23215,119,0.81642,-1
成本,11,サービス業,1,3,H1,0.3792,0.36258,119,0.71692,-1
成本,11,サービス業,1,3,H2,-3.77713,-2.65342,117,0.00797,-1
成本,11,サービス業,1,6,H1,-1.19517,-0.86381,119,0.38769,-1
