family,src,target,w,h,L,p_H1,p_H2,slope_H1,slope_H2,t_H1,t_H2,found,rep
外部需求 → 日本,jp_exp,T5,1,3,0,0.0778,0.6843,0.232,0.084,1.7633,0.4066,False,False
外部需求 → 日本,jp_exp,T5,1,3,3,0.7637,0.4199,0.0434,0.117,0.3006,0.8066,False,False
外部需求 → 日本,jp_exp,T5,1,3,6,0.8378,0.853,0.0241,-0.0286,0.2047,-0.1853,False,False
外部需求 → 日本,jp_exp,T5,1,6,0,0.2444,0.5976,0.2937,0.1185,1.1642,0.5278,False,False
外部需求 → 日本,jp_exp,T5,1,6,3,0.6291,0.483,0.1009,0.117,0.483,0.7015,False,False
外部需求 → 日本,jp_exp,T5,1,6,6,0.6052,0.912,0.0966,-0.0184,0.517,-0.1105,False,False
外部需求 → 日本,jp_exp,T5,3,1,0,0.0967,0.8216,0.0551,0.0132,1.6608,0.2255,False,False
外部需求 → 日本,jp_exp,T5,3,1,3,0.6565,0.6792,0.0148,0.02,0.4447,0.4136,False,False
外部需求 → 日本,jp_exp,T5,3,1,6,0.9871,0.8937,-0.0005,0.0063,-0.0161,0.1336,False,False
外部需求 → 日本,jp_exp,T5,3,3,0,0.1447,0.702,0.1193,-0.0545,1.4587,-0.3827,False,False
外部需求 → 日本,jp_exp,T5,3,3,3,0.8872,0.0737,0.0118,0.1498,0.1419,1.7883,False,False
外部需求 → 日本,jp_exp,T5,3,3,6,0.625,0.5786,0.0368,0.0526,0.4888,0.5554,False,False
外部需求 → 日本,jp_exp,T5,3,6,0,0.3787,0.6084,0.1419,0.0841,0.8803,0.5123,False,False
外部需求 → 日本,jp_exp,T5,3,6,3,0.6651,0.1049,0.0547,0.2075,0.433,1.6215,False,False
外部需求 → 日本,jp_exp,T5,3,6,6,0.748,0.5168,0.0412,-0.0777,0.3213,-0.6483,False,False
外部需求 → 日本,jp_exp,T5,6,1,0,0.1243,0.6114,0.0325,0.0222,1.537,0.5081,False,False
外部需求 → 日本,jp_exp,T5,6,1,3,0.7536,0.599,0.0069,0.0179,0.3139,0.5258,False,False
外部需求 → 日本,jp_exp,T5,6,1,6,0.5567,0.9588,0.0114,0.0019,0.5877,0.0517,False,False
外部需求 → 日本,jp_exp,T5,6,3,0,0.3321,0.5919,0.0633,0.0472,0.9699,0.5361,False,False
