target,combo,k,signs,disc_auc,val_auc,val_ba,p,g1,g2,g3
T1_breakout,M3 + E3 + S15,3,−−−,0.5036,0.5688,0.5574,0.062,False,True,True
T1_breakout,M3 + E3 + E5,3,−−+,,0.5893,,0.0289,False,False,True
T1_breakout,M3 + E3 + S16,3,−−+,0.5296,0.5818,0.5656,0.0382,False,True,True
T1_breakout,M3 + E4 + H1,3,−+−,0.5667,0.5335,0.5297,0.187,False,True,False
T1_breakout,M3 + E4 + S01,3,−++,0.6131,0.5573,0.5164,0.0916,False,True,True
T1_breakout,M3 + E4 + S02,3,−+−,0.5539,0.4755,0.4779,0.6046,False,False,False
T1_breakout,M3 + E4 + S03,3,−++,0.5833,0.5601,0.5462,0.0834,False,True,True
T1_breakout,M3 + E4 + S04,3,−+−,0.5882,0.5404,0.5274,0.154,False,True,False
T1_breakout,M3 + E4 + S05,3,−++,0.6226,0.4945,0.4909,0.45,False,False,False
T1_breakout,M3 + E4 + S06,3,−++,0.5743,0.5605,0.5662,0.0822,False,True,True
T1_breakout,M3 + E4 + S07,3,−+−,0.5676,0.4874,0.4769,0.5076,False,False,False
T1_breakout,M3 + E4 + S08,3,−+−,0.5814,0.4836,0.4655,0.5389,False,False,False
T1_breakout,M3 + E4 + S09,3,−+−,0.62,0.5154,0.517,0.2952,False,True,False
T1_breakout,M3 + E4 + S10,3,−+−,0.5627,0.5185,0.5361,0.2745,False,True,False
T1_breakout,M3 + E4 + S11,3,−+−,0.5974,0.5275,0.5473,0.2198,False,True,False
T1_breakout,M3 + E4 + S12,3,−++,0.5748,0.5228,0.5239,0.2473,False,True,False
T1_breakout,M3 + E4 + S13,3,−++,0.577,0.5165,0.511,0.2881,False,True,False
T1_breakout,M3 + E4 + S14,3,−++,0.5837,0.5828,0.5635,0.0369,False,True,True
T1_breakout,M3 + E4 + S15,3,−+−,0.5692,0.5297,0.5189,0.2078,False,True,False
T1_breakout,M3 + E4 + E5,3,−++,,0.5767,,0.0464,False,False,True
T1_breakout,M3 + E4 + S16,3,−++,0.5157,0.5326,0.4717,0.1919,False,True,False
T1_breakout,M3 + H1 + S01,3,−−+,0.5893,0.5572,0.5379,0.0919,False,True,True
T1_breakout,M3 + H1 + S02,3,−−−,0.5321,0.4741,0.4819,0.6156,False,False,False
T1_breakout,M3 + H1 + S03,3,−−+,0.553,0.5555,0.5348,0.0974,False,True,True
T1_breakout,M3 + H1 + S04,3,−−−,0.5617,0.5428,0.4844,0.1435,False,True,False
T1_breakout,M3 + H1 + S05,3,−−+,0.6027,0.486,0.4859,0.5192,False,False,False
T1_breakout,M3 + H1 + S06,3,−−+,0.5774,0.56,0.5802,0.0839,False,True,True
T1_breakout,M3 + H1 + S07,3,−−−,0.521,0.4804,0.4654,0.5651,False,False,False
T1_breakout,M3 + H1 + S08,3,−−−,0.538,0.4762,0.4693,0.5988,False,False,False
T1_breakout,M3 + H1 + S09,3,−−−,0.5776,0.5037,0.5084,0.379,False,True,False
T1_breakout,M3 + H1 + S10,3,−−−,0.5514,0.5221,0.4943,0.2518,False,True,False
T1_breakout,M3 + H1 + S11,3,−−−,0.5408,0.5624,0.5206,0.0774,False,True,True
T1_breakout,M3 + H1 + S12,3,−−+,0.5358,0.5231,0.549,0.2452,False,True,False
T1_breakout,M3 + H1 + S13,3,−−+,0.5705,0.5067,0.5076,0.357,False,True,False
T1_breakout,M3 + H1 + S14,3,−−+,0.5493,0.6047,0.5791,0.0157,False,True,True
T1_breakout,M3 + H1 + S15,3,−−−,0.5361,0.5468,0.5094,0.1275,False,True,False
T1_breakout,M3 + H1 + E5,3,−−+,,0.5386,,0.1622,False,False,False
T1_breakout,M3 + H1 + S16,3,−−+,0.5204,0.5035,0.553,0.38,False,True,False
T1_breakout,M3 + S01 + S02,3,−+−,0.5606,0.5016,0.4801,0.3947,False,True,False
T1_breakout,M3 + S01 + S03,3,−++,0.5775,0.562,0.5417,0.0783,False,True,True
T1_breakout,M3 + S01 + S04,3,−+−,0.5884,0.5529,0.522,0.1055,False,True,True
T1_breakout,M3 + S01 + S05,3,−++,0.635,0.5112,0.5126,0.3241,False,True,False
T1_breakout,M3 + S01 + S06,3,−++,0.5941,0.5659,0.5442,0.0685,False,True,True
T1_breakout,M3 + S01 + S07,3,−+−,0.5728,0.5214,0.4993,0.2558,False,True,False
T1_breakout,M3 + S01 + S08,3,−+−,0.5912,0.5097,0.5114,0.335,False,True,False
T1_breakout,M3 + S01 + S09,3,−+−,0.6177,0.529,0.5327,0.2115,False,True,False
